State,Survey Year,Age,Past Month Illicit Drug Use (total),Past Year Marijuana Use (total),Past Month Marijuana Use (total),Past Year Cocaine Use (total),Past Month Alcohol Use (total),Past Month Binge Alcohol Use (total),Past Month Cigarette Use (total),First Use of Marijuana (total),Past Month Illicit Drug Use Other Than Marijuana (total),Past Year Heroin Use (total),Past Year Methamphetamine Use (total),Past Year Misuse of Pain Relievers (total),Illicit Drug Use Disorder (total),Pain Reliever Use Disorder (total),Alcohol Use Disorder (total),Substance Use Disorder (total),Past Month Illicit Drug Use %,Past Year Marijuana Use %,Past Month Marijuana Use %,Past Year Cocaine Use %,Past Month Alcohol Use %,Past Month Binge Alcohol Use %,Past Month Cigarette Use %,First Use of Marijuana %,Past Month Illicit Drug Use Other Than Marijuana %,Past Year Heroin Use %,Past Year Methamphetamine Use %,Past Year Misuse of Pain Relievers %,Illicit Drug Use Disorder %,Pain Reliever Use Disorder %,Alcohol Use Disorder %,Substance Use Disorder %
Alaska,2015,12-17,,11.0,6.0,0.0,7.0,,4.0,3.0,,0.0,,,,,2.0,,,18.44,10.64,0.65,11.04,,6.02,7.52,,0.08,,,,,2.55,
Alaska,2015,18+,,116.0,77.0,11.0,313.0,,140.0,5.0,,7.0,,,,,42.0,,,22.31,14.8,2.15,59.95,,26.74,2.52,,1.36,,,,,7.99,
Alaska,2015,18-25,,34.0,21.0,4.0,52.0,,29.0,4.0,,1.0,,,,,10.0,,,40.69,25.02,4.79,62.57,,35.38,10.69,,0.91,,,,,12.3,
Alaska,2015,26+,,82.0,56.0,7.0,261.0,,110.0,1.0,,6.0,,,,,31.0,,,18.76,12.83,1.64,59.45,,25.09,0.74,,1.45,,,,,7.16,
Alaska,2016,12+,103.0,134.0,93.0,12.0,307.0,145.0,136.0,8.0,22.0,4.0,,29.0,25.0,4.0,40.0,56.0,17.62,23.0,16.03,2.12,52.72,24.96,23.35,3.56,3.84,0.75,,4.95,4.32,0.76,6.82,9.58
Alaska,2016,12-17,8.0,11.0,6.0,1.0,6.0,3.0,4.0,3.0,2.0,0.0,,2.0,3.0,0.0,2.0,5.0,13.22,18.86,10.43,0.89,10.23,5.59,7.2,7.79,3.62,0.09,,4.04,4.8,0.62,2.59,8.33
Alaska,2016,18+,95.0,123.0,87.0,12.0,301.0,142.0,132.0,5.0,20.0,4.0,,26.0,22.0,4.0,38.0,51.0,18.11,23.46,16.66,2.26,57.5,27.14,25.16,2.51,3.86,0.82,,5.05,4.27,0.78,7.3,9.72
Alaska,2016,18-25,24.0,34.0,22.0,5.0,47.0,31.0,24.0,3.0,6.0,1.0,,7.0,7.0,1.0,8.0,13.0,29.81,41.88,27.65,5.83,58.93,38.37,30.46,10.76,7.97,1.33,,9.19,8.81,1.1,10.45,15.85
Alaska,2016,26+,71.0,89.0,65.0,7.0,254.0,111.0,107.0,1.0,14.0,3.0,,19.0,15.0,3.0,30.0,38.0,15.97,20.09,14.65,1.61,57.24,25.08,24.19,0.81,3.11,0.73,,4.3,3.44,0.72,6.72,8.6
Alaska,2017,12+,98.0,133.0,93.0,14.0,302.0,142.0,115.0,8.0,21.0,3.0,5.0,28.0,22.0,4.0,38.0,53.0,16.81,22.73,15.81,2.32,51.61,24.2,19.65,3.22,3.54,0.44,0.84,4.81,3.69,0.67,6.57,8.98
Alaska,2017,12-17,6.0,10.0,5.0,0.0,6.0,3.0,4.0,3.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,4.0,10.61,16.51,8.84,0.71,10.1,5.08,5.98,7.09,2.42,0.1,0.24,3.65,4.55,0.6,2.21,6.54
Alaska,2017,18+,92.0,123.0,87.0,13.0,296.0,139.0,112.0,5.0,19.0,3.0,5.0,26.0,19.0,4.0,37.0,49.0,17.5,23.43,16.59,2.5,56.25,26.33,21.18,2.31,3.66,0.48,0.9,4.94,3.6,0.68,7.06,9.26
Alaska,2017,18-25,21.0,30.0,20.0,4.0,42.0,27.0,21.0,3.0,5.0,1.0,1.0,6.0,6.0,1.0,9.0,13.0,27.92,39.44,26.27,5.76,55.68,35.75,27.57,8.96,7.17,0.91,1.1,8.02,7.88,0.79,11.26,16.53
