State,Survey Year,Age,Past Month Illicit Drug Use (total),Past Year Marijuana Use (total),Past Month Marijuana Use (total),Past Year Cocaine Use (total),Past Month Alcohol Use (total),Past Month Binge Alcohol Use (total),Past Month Cigarette Use (total),First Use of Marijuana (total),Past Month Illicit Drug Use Other Than Marijuana (total),Past Year Heroin Use (total),Past Year Methamphetamine Use (total),Past Year Misuse of Pain Relievers (total),Illicit Drug Use Disorder (total),Pain Reliever Use Disorder (total),Alcohol Use Disorder (total),Substance Use Disorder (total),Past Month Illicit Drug Use %,Past Year Marijuana Use %,Past Month Marijuana Use %,Past Year Cocaine Use %,Past Month Alcohol Use %,Past Month Binge Alcohol Use %,Past Month Cigarette Use %,First Use of Marijuana %,Past Month Illicit Drug Use Other Than Marijuana %,Past Year Heroin Use %,Past Year Methamphetamine Use %,Past Year Misuse of Pain Relievers %,Illicit Drug Use Disorder %,Pain Reliever Use Disorder %,Alcohol Use Disorder %,Substance Use Disorder %
Mississippi,2017,18+,210.0,253.0,158.0,31.0,917.0,496.0,589.0,17.0,75.0,5.0,15.0,93.0,60.0,17.0,105.0,149.0,9.51,11.48,7.17,1.41,41.58,22.48,26.73,1.24,3.4,0.23,0.66,4.24,2.71,0.78,4.77,6.77
Mississippi,2017,18-25,61.0,87.0,51.0,9.0,144.0,84.0,86.0,13.0,21.0,1.0,3.0,24.0,21.0,4.0,26.0,42.0,18.85,26.78,15.79,2.9,44.24,25.76,26.43,6.83,6.32,0.42,0.95,7.3,6.54,1.23,7.91,12.82
Mississippi,2017,26+,148.0,166.0,107.0,22.0,773.0,412.0,503.0,3.0,54.0,4.0,11.0,70.0,38.0,13.0,79.0,107.0,7.9,8.82,5.67,1.15,41.12,21.91,26.79,0.27,2.89,0.2,0.61,3.71,2.05,0.7,4.23,5.72
Mississippi,2018,12+,214.0,284.0,171.0,36.0,979.0,525.0,613.0,28.0,78.0,5.0,19.0,99.0,66.0,16.0,107.0,158.0,8.71,11.58,6.98,1.47,39.95,21.43,24.99,1.74,3.18,0.21,0.79,4.06,2.7,0.66,4.37,6.43
Mississippi,2018,12-17,16.0,26.0,12.0,1.0,21.0,11.0,11.0,11.0,6.0,0.0,1.0,8.0,6.0,1.0,3.0,8.0,6.45,10.77,4.96,0.32,8.71,4.41,4.51,4.76,2.43,0.04,0.23,3.33,2.53,0.34,1.21,3.3
Mississippi,2018,18+,198.0,258.0,159.0,35.0,958.0,515.0,602.0,17.0,72.0,5.0,19.0,91.0,60.0,15.0,104.0,150.0,8.96,11.67,7.21,1.6,43.36,23.29,27.23,1.23,3.26,0.22,0.85,4.14,2.72,0.7,4.71,6.77
Mississippi,2018,18-25,58.0,80.0,49.0,10.0,135.0,81.0,82.0,13.0,19.0,1.0,4.0,22.0,20.0,3.0,24.0,38.0,18.13,24.71,15.26,3.25,41.93,25.25,25.58,6.39,5.79,0.41,1.13,6.79,6.12,1.08,7.36,11.69
Mississippi,2018,26+,140.0,178.0,110.0,25.0,823.0,433.0,519.0,4.0,53.0,4.0,15.0,70.0,40.0,12.0,80.0,112.0,7.4,9.45,5.83,1.32,43.61,22.96,27.51,0.33,2.83,0.19,0.8,3.68,2.14,0.63,4.26,5.94
Mississippi,2019,12+,225.0,297.0,193.0,37.0,950.0,503.0,593.0,27.0,73.0,5.0,23.0,96.0,65.0,12.0,117.0,166.0,9.17,12.09,7.88,1.52,38.75,20.49,24.16,1.67,2.99,0.22,0.95,3.93,2.65,0.48,4.77,6.77
Mississippi,2019,12-17,16.0,24.0,14.0,1.0,19.0,11.0,10.0,11.0,5.0,0.0,0.0,8.0,6.0,1.0,3.0,8.0,6.66,9.9,5.68,0.25,8.05,4.55,4.19,4.55,2.16,0.02,0.19,3.26,2.56,0.37,1.37,3.32
Mississippi,2019,18+,209.0,273.0,180.0,37.0,931.0,492.0,582.0,16.0,68.0,5.0,23.0,88.0,59.0,11.0,114.0,158.0,9.45,12.33,8.12,1.66,42.1,22.23,26.34,1.19,3.09,0.24,1.03,4.0,2.66,0.49,5.15,7.15
Mississippi,2019,18-25,61.0,78.0,54.0,11.0,132.0,82.0,71.0,12.0,16.0,1.0,2.0,18.0,19.0,2.0,25.0,37.0,19.17,24.62,16.99,3.45,41.68,25.81,22.46,5.83,5.07,0.31,0.79,5.69,5.92,0.67,7.83,11.67
Mississippi,2019,26+,148.0,195.0,126.0,26.0,799.0,410.0,511.0,4.0,52.0,4.0,20.0,70.0,40.0,9.0,89.0,121.0,7.83,10.28,6.65,1.36,42.18,21.64,26.99,0.37,2.76,0.23,1.07,3.72,2.11,0.46,4.7,6.39
Missouri,2013,12+,443.0,581.0,355.0,53.0,2584.0,1218.0,1410.0,,,,,,,,,,8.87,11.64,7.1,1.06,51.7,24.37,28.21,,,,,,,,,
Missouri,2013,12-17,45.0,65.0,34.0,2.0,59.0,35.0,41.0,,,,,,,,,,9.46,13.78,7.1,0.42,12.4,7.46,8.63,,,,,,,,,
Missouri,2013,18+,398.0,516.0,321.0,51.0,2525.0,1183.0,1369.0,,,,,,,,,,8.81,11.41,7.1,1.12,55.81,26.14,30.26,,,,,,,,,
Missouri,2013,18-25,147.0,210.0,132.0,18.0,398.0,267.0,252.0,,,,,,,,,,22.42,31.99,20.15,2.75,60.73,40.74,38.42,,,,,,,,,
Missouri,2013,26+,252.0,307.0,189.0,33.0,2127.0,916.0,1117.0,,,,,,,,,,6.5,7.93,4.88,0.85,54.98,23.66,28.87,,,,,,,,,
Missouri,2014,12+,465.0,639.0,401.0,57.0,2554.0,1261.0,1411.0,,,,,,,,,,9.27,12.73,7.98,1.14,50.85,25.1,28.1,,,,,,,,,
Missouri,2014,12-17,37.0,59.0,30.0,2.0,51.0,32.0,38.0,,,,,,,,,,7.93,12.48,6.45,0.4,10.91,6.7,8.08,,,,,,,,,
Missouri,2014,18+,428.0,580.0,370.0,55.0,2502.0,1229.0,1373.0,,,,,,,,,,9.41,12.75,8.14,1.21,54.98,27.01,30.17,,,,,,,,,
Missouri,2014,18-25,153.0,219.0,142.0,22.0,394.0,271.0,256.0,,,,,,,,,,23.35,33.32,21.68,3.35,60.04,41.27,38.96,,,,,,,,,
Missouri,2014,26+,275.0,362.0,228.0,33.0,2108.0,958.0,1117.0,,,,,,,,,,7.06,9.28,5.85,0.85,54.13,24.6,28.69,,,,,,,,,
Missouri,2015,12+,,683.0,405.0,68.0,2562.0,,1266.0,57.0,,12.0,,,,,310.0,,,13.53,8.02,1.35,50.78,,25.09,2.08,,0.24,,,,,6.14,
Missouri,2015,12-17,,61.0,31.0,2.0,46.0,,33.0,23.0,,0.0,,,,,11.0,,,12.94,6.56,0.49,9.83,,6.95,5.62,,0.08,,,,,2.28,
Missouri,2015,18+,,622.0,374.0,66.0,2516.0,,1233.0,34.0,,12.0,,,,,299.0,,,13.59,8.17,1.43,54.99,,26.96,1.46,,0.26,,,,,6.54,
Missouri,2015,18-25,,215.0,128.0,27.0,390.0,,234.0,29.0,,4.0,,,,,83.0,,,32.67,19.46,4.12,59.32,,35.67,9.06,,0.64,,,,,12.57,
Missouri,2015,26+,,407.0,246.0,39.0,2127.0,,999.0,6.0,,8.0,,,,,217.0,,,10.39,6.28,0.98,54.27,,25.49,0.28,,0.2,,,,,5.53,
Missouri,2016,12+,523.0,668.0,412.0,65.0,2602.0,1269.0,1164.0,63.0,162.0,17.0,,229.0,137.0,39.0,294.0,388.0,10.34,13.19,8.13,1.29,51.39,25.05,22.98,2.18,3.2,0.33,,4.52,2.7,0.76,5.8,7.66
Missouri,2016,12-17,46.0,59.0,29.0,2.0,47.0,26.0,28.0,22.0,20.0,0.0,,22.0,15.0,3.0,10.0,21.0,9.9,12.55,6.23,0.48,9.91,5.62,6.06,5.12,4.26,0.05,,4.65,3.24,0.61,2.21,4.44
Missouri,2016,18+,477.0,609.0,382.0,63.0,2556.0,1242.0,1135.0,41.0,142.0,16.0,,207.0,122.0,36.0,283.0,367.0,10.38,13.26,8.32,1.37,55.63,27.04,24.71,1.66,3.09,0.36,,4.5,2.64,0.78,6.17,7.99
Missouri,2016,18-25,139.0,211.0,120.0,25.0,385.0,265.0,200.0,34.0,39.0,4.0,,53.0,41.0,6.0,77.0,98.0,21.31,32.4,18.42,3.9,59.04,40.61,30.61,9.59,5.9,0.68,,8.18,6.21,0.98,11.75,15.05
Missouri,2016,26+,338.0,398.0,262.0,38.0,2170.0,977.0,936.0,8.0,103.0,12.0,,154.0,81.0,29.0,207.0,269.0,8.57,10.09,6.65,0.95,55.07,24.79,23.74,0.36,2.62,0.3,,3.9,2.06,0.74,5.24,6.82
Missouri,2017,12+,526.0,699.0,428.0,81.0,2587.0,1282.0,1084.0,65.0,169.0,15.0,45.0,219.0,129.0,35.0,271.0,371.0,10.36,13.75,8.42,1.59,50.93,25.23,21.33,2.21,3.32,0.3,0.88,4.31,2.54,0.69,5.33,7.29
Missouri,2017,12-17,39.0,55.0,27.0,2.0,51.0,27.0,24.0,22.0,14.0,0.0,1.0,16.0,12.0,2.0,9.0,17.0,8.26,11.81,5.8,0.47,10.8,5.82,5.2,4.93,3.07,0.04,0.29,3.53,2.66,0.5,1.86,3.72
Missouri,2017,18+,488.0,643.0,401.0,79.0,2537.0,1255.0,1060.0,44.0,154.0,15.0,43.0,202.0,117.0,32.0,262.0,353.0,10.58,13.95,8.68,1.71,55.0,27.2,22.97,1.72,3.34,0.32,0.94,4.39,2.53,0.7,5.68,7.66
Missouri,2017,18-25,134.0,206.0,120.0,29.0,360.0,245.0,155.0,33.0,36.0,4.0,9.0,46.0,40.0,7.0,61.0,84.0,20.72,31.87,18.57,4.44,55.78,37.98,24.06,8.95,5.52,0.54,1.32,7.14,6.2,1.04,9.49,13.08
Missouri,2017,26+,354.0,438.0,281.0,50.0,2177.0,1010.0,904.0,11.0,119.0,11.0,35.0,156.0,77.0,26.0,201.0,269.0,8.93,11.03,7.08,1.26,54.87,25.45,22.79,0.47,2.99,0.29,0.88,3.94,1.93,0.65,5.06,6.77
Missouri,2018,12+,521.0,743.0,437.0,74.0,2500.0,1231.0,1072.0,67.0,150.0,13.0,45.0,214.0,133.0,36.0,256.0,368.0,10.22,14.57,8.57,1.45,49.02,24.14,21.01,2.23,2.94,0.26,0.88,4.2,2.6,0.7,5.02,7.21
Missouri,2018,12-17,36.0,56.0,29.0,2.0,50.0,26.0,20.0,22.0,11.0,0.0,1.0,14.0,13.0,2.0,8.0,17.0,7.62,12.1,6.21,0.42,10.68,5.64,4.37,5.09,2.38,0.06,0.3,3.05,2.7,0.39,1.65,3.69
Missouri,2018,18+,486.0,686.0,408.0,72.0,2450.0,1205.0,1051.0,45.0,139.0,13.0,43.0,200.0,120.0,34.0,248.0,351.0,10.49,14.82,8.81,1.55,52.88,26.0,22.69,1.73,2.99,0.28,0.94,4.32,2.59,0.74,5.36,7.57
Missouri,2018,18-25,137.0,203.0,127.0,26.0,339.0,217.0,137.0,33.0,33.0,3.0,10.0,41.0,42.0,6.0,55.0,82.0,21.61,31.9,19.96,4.14,53.29,34.12,21.47,8.83,5.25,0.54,1.57,6.47,6.63,0.96,8.59,12.95
Missouri,2018,26+,348.0,484.0,281.0,46.0,2111.0,988.0,915.0,13.0,105.0,10.0,33.0,159.0,78.0,28.0,194.0,268.0,8.72,12.1,7.03,1.14,52.82,24.71,22.88,0.5,2.63,0.24,0.83,3.97,1.95,0.7,4.84,6.71
Missouri,2019,12+,543.0,763.0,460.0,68.0,2533.0,1231.0,1009.0,65.0,151.0,14.0,46.0,189.0,146.0,25.0,267.0,377.0,10.61,14.91,8.99,1.33,49.51,24.06,19.72,2.25,2.96,0.28,0.9,3.7,2.85,0.49,5.21,7.38
Missouri,2019,12-17,35.0,53.0,27.0,2.0,43.0,23.0,16.0,22.0,11.0,0.0,1.0,13.0,15.0,2.0,8.0,19.0,7.52,11.35,5.88,0.38,9.19,5.02,3.41,5.05,2.46,0.03,0.27,2.74,3.23,0.43,1.8,4.04
Missouri,2019,18+,508.0,710.0,433.0,66.0,2490.0,1208.0,993.0,43.0,140.0,14.0,45.0,177.0,131.0,23.0,258.0,358.0,10.92,15.27,9.3,1.42,53.55,25.97,21.36,1.76,3.01,0.3,0.96,3.8,2.82,0.5,5.56,7.71
Missouri,2019,18-25,143.0,204.0,130.0,26.0,338.0,215.0,138.0,32.0,34.0,3.0,7.0,37.0,46.0,4.0,59.0,88.0,22.72,32.52,20.73,4.12,53.95,34.22,21.94,8.93,5.49,0.43,1.19,5.95,7.33,0.63,9.46,14.01
Missouri,2019,26+,365.0,506.0,302.0,40.0,2151.0,993.0,855.0,11.0,105.0,11.0,37.0,139.0,85.0,19.0,199.0,271.0,9.08,12.58,7.52,1.0,53.48,24.68,21.26,0.57,2.62,0.28,0.93,3.46,2.11,0.48,4.95,6.73
Montana,2013,12+,94.0,134.0,88.0,13.0,506.0,214.0,207.0,,,,,,,,,,11.13,15.78,10.33,1.54,59.82,25.28,24.52,,,,,,,,,
Montana,2013,12-17,8.0,12.0,6.0,1.0,10.0,5.0,6.0,,,,,,,,,,10.39,15.8,8.68,0.78,13.24,7.31,7.93,,,,,,,,,
Montana,2013,18+,87.0,122.0,81.0,12.0,496.0,209.0,202.0,,,,,,,,,,11.2,15.78,10.49,1.61,64.25,26.99,26.1,,,,,,,,,
Montana,2013,18-25,27.0,38.0,25.0,5.0,73.0,49.0,40.0,,,,,,,,,,24.5,34.98,23.04,4.82,67.1,44.67,36.47,,,,,,,,,
Montana,2013,26+,60.0,84.0,56.0,7.0,423.0,160.0,162.0,,,,,,,,,,9.03,12.65,8.44,1.09,63.79,24.11,24.4,,,,,,,,,
Montana,2014,12+,95.0,120.0,86.0,10.0,499.0,207.0,185.0,,,,,,,,,,11.09,14.07,10.04,1.22,58.39,24.26,21.68,,,,,,,,,
Montana,2014,12-17,7.0,10.0,6.0,0.0,8.0,5.0,5.0,,,,,,,,,,10.0,13.38,8.3,0.49,11.19,6.53,6.35,,,,,,,,,
Montana,2014,18+,87.0,110.0,80.0,10.0,490.0,202.0,180.0,,,,,,,,,,11.19,14.13,10.2,1.29,62.86,25.94,23.13,,,,,,,,,
Montana,2014,18-25,25.0,33.0,23.0,4.0,72.0,47.0,34.0,,,,,,,,,,22.34,30.03,20.57,3.53,65.01,42.68,30.79,,,,,,,,,
Montana,2014,26+,63.0,77.0,57.0,6.0,418.0,155.0,146.0,,,,,,,,,,9.35,11.51,8.49,0.92,62.51,23.18,21.87,,,,,,,,,
Montana,2015,12+,,133.0,96.0,13.0,499.0,,169.0,9.0,,1.0,,,,,60.0,,,15.38,11.09,1.49,57.93,,19.65,2.3,,0.17,,,,,6.95,
Montana,2015,12-17,,11.0,6.0,0.0,7.0,,5.0,4.0,,0.0,,,,,2.0,,,14.62,8.71,0.62,9.9,,6.29,6.19,,0.07,,,,,2.6,
Montana,2015,18+,,122.0,89.0,12.0,492.0,,165.0,6.0,,1.0,,,,,58.0,,,15.45,11.32,1.57,62.47,,20.92,1.58,,0.18,,,,,7.37,
Montana,2015,18-25,,37.0,26.0,5.0,69.0,,32.0,4.0,,1.0,,,,,16.0,,,33.33,22.88,4.65,61.56,,28.78,8.67,,0.56,,,,,14.09,
Montana,2015,26+,,84.0,64.0,7.0,423.0,,133.0,1.0,,1.0,,,,,42.0,,,12.49,9.41,1.06,62.62,,19.61,0.38,,0.12,,,,,6.25,
Montana,2016,12+,115.0,160.0,105.0,16.0,500.0,245.0,182.0,11.0,28.0,3.0,,43.0,27.0,7.0,63.0,77.0,13.25,18.41,12.02,1.8,57.49,28.13,20.95,2.91,3.18,0.32,,4.97,3.1,0.75,7.24,8.9
Montana,2016,12-17,8.0,13.0,6.0,1.0,8.0,5.0,5.0,4.0,2.0,0.0,,3.0,3.0,0.0,2.0,5.0,10.23,17.04,8.43,1.08,11.05,6.8,7.08,7.02,3.09,0.1,,4.03,4.23,0.55,2.91,6.39
Montana,2016,18+,108.0,147.0,98.0,15.0,492.0,240.0,177.0,7.0,25.0,3.0,,40.0,24.0,6.0,61.0,73.0,13.53,18.54,12.36,1.87,61.84,30.13,22.25,2.11,3.18,0.34,,5.06,3.0,0.77,7.65,9.14
Montana,2016,18-25,29.0,42.0,27.0,6.0,69.0,50.0,31.0,5.0,8.0,1.0,,11.0,9.0,2.0,16.0,21.0,25.83,38.05,23.89,5.71,61.98,45.16,27.7,10.46,6.93,0.78,,9.48,7.71,1.37,14.65,18.75
Montana,2016,26+,79.0,105.0,72.0,9.0,423.0,190.0,146.0,2.0,18.0,2.0,,30.0,15.0,5.0,45.0,52.0,11.53,15.36,10.48,1.25,61.82,27.69,21.36,0.63,2.57,0.27,,4.34,2.23,0.68,6.51,7.57
Montana,2017,12+,126.0,171.0,114.0,17.0,505.0,257.0,180.0,12.0,31.0,3.0,6.0,40.0,27.0,6.0,67.0,79.0,14.33,19.53,13.01,1.91,57.53,29.29,20.53,2.78,3.59,0.33,0.68,4.55,3.11,0.72,7.65,8.98
Montana,2017,12-17,8.0,12.0,7.0,1.0,10.0,6.0,4.0,4.0,2.0,0.0,0.0,3.0,3.0,0.0,3.0,5.0,10.37,15.91,8.8,0.89,12.82,7.54,6.03,6.53,2.92,0.08,0.17,3.43,3.93,0.49,3.72,6.3
Montana,2017,18+,118.0,160.0,108.0,16.0,496.0,252.0,176.0,7.0,29.0,3.0,6.0,37.0,24.0,6.0,64.0,74.0,14.7,19.86,13.4,2.0,61.69,31.31,21.88,2.09,3.65,0.36,0.73,4.65,3.03,0.74,8.01,9.23
Montana,2017,18-25,30.0,45.0,28.0,6.0,71.0,51.0,31.0,5.0,9.0,1.0,2.0,9.0,9.0,1.0,15.0,20.0,27.14,40.51,25.13,5.81,64.38,45.86,28.45,10.95,7.76,0.71,1.62,8.17,8.1,1.19,13.85,17.91
Montana,2017,26+,88.0,115.0,80.0,10.0,425.0,201.0,144.0,2.0,21.0,2.0,4.0,28.0,15.0,5.0,49.0,54.0,12.71,16.57,11.52,1.39,61.26,28.99,20.83,0.67,2.99,0.3,0.59,4.09,2.22,0.66,7.08,7.84
Montana,2018,12+,140.0,174.0,128.0,17.0,515.0,242.0,172.0,12.0,32.0,3.0,9.0,36.0,29.0,6.0,66.0,80.0,15.8,19.61,14.46,1.91,57.94,27.23,19.42,2.85,3.6,0.3,0.97,4.03,3.26,0.73,7.47,9.05
Montana,2018,12-17,8.0,11.0,7.0,0.0,10.0,5.0,4.0,4.0,2.0,0.0,0.0,2.0,3.0,0.0,2.0,4.0,10.99,14.69,9.65,0.65,13.33,6.89,5.12,6.24,2.98,0.08,0.26,2.77,3.56,0.42,3.14,5.18
Montana,2018,18+,132.0,163.0,121.0,16.0,505.0,237.0,169.0,7.0,30.0,3.0,8.0,34.0,26.0,6.0,64.0,76.0,16.25,20.07,14.91,2.03,62.08,29.12,20.75,2.22,3.66,0.32,1.03,4.15,3.24,0.75,7.87,9.41
Montana,2018,18-25,32.0,44.0,30.0,7.0,68.0,46.0,34.0,6.0,9.0,1.0,2.0,8.0,9.0,1.0,15.0,20.0,29.03,40.15,27.3,6.12,62.04,41.64,31.04,12.03,8.01,0.59,2.13,7.32,8.58,1.14,14.06,17.83
Montana,2018,26+,100.0,119.0,91.0,10.0,436.0,191.0,134.0,2.0,21.0,2.0,6.0,26.0,17.0,5.0,49.0,57.0,14.25,16.92,12.96,1.38,62.09,27.16,19.13,0.71,2.98,0.28,0.86,3.65,2.4,0.69,6.91,8.09
Montana,2019,12+,147.0,180.0,134.0,19.0,518.0,246.0,187.0,12.0,33.0,3.0,13.0,38.0,31.0,6.0,67.0,87.0,16.32,20.06,14.92,2.11,57.64,27.43,20.83,3.33,3.72,0.36,1.43,4.27,3.46,0.68,7.46,9.67
Montana,2019,12-17,9.0,12.0,7.0,0.0,9.0,5.0,4.0,5.0,2.0,0.0,0.0,2.0,3.0,0.0,2.0,4.0,11.58,15.98,9.77,0.61,11.64,5.99,5.58,7.46,3.02,0.04,0.32,2.69,4.08,0.39,2.51,5.68
Montana,2019,18+,138.0,168.0,127.0,19.0,509.0,242.0,183.0,8.0,31.0,3.0,13.0,36.0,28.0,6.0,65.0,83.0,16.77,20.44,15.4,2.25,61.92,29.42,22.25,2.52,3.79,0.39,1.53,4.41,3.4,0.71,7.92,10.04
Montana,2019,18-25,34.0,44.0,33.0,8.0,69.0,46.0,32.0,5.0,9.0,1.0,2.0,7.0,9.0,1.0,15.0,18.0,31.39,40.46,29.85,6.92,62.94,41.88,28.79,11.7,8.36,0.47,2.03,6.49,7.87,0.82,13.65,16.69
Montana,2019,26+,103.0,124.0,94.0,11.0,440.0,196.0,151.0,2.0,22.0,3.0,10.0,29.0,19.0,5.0,50.0,64.0,14.51,17.36,13.18,1.53,61.76,27.5,21.24,0.98,3.09,0.38,1.46,4.09,2.71,0.69,7.04,9.02
Nebraska,2013,12+,103.0,152.0,83.0,19.0,855.0,361.0,333.0,,,,,,,,,,6.79,9.98,5.47,1.25,56.37,23.74,21.97,,,,,,,,,
Nebraska,2013,12-17,12.0,19.0,9.0,1.0,17.0,10.0,10.0,,,,,,,,,,7.96,13.03,6.24,0.52,11.32,7.01,6.79,,,,,,,,,
Nebraska,2013,18+,92.0,133.0,74.0,18.0,838.0,350.0,323.0,,,,,,,,,,6.67,9.66,5.38,1.33,61.19,25.53,23.59,,,,,,,,,
Nebraska,2013,18-25,35.0,58.0,31.0,7.0,131.0,88.0,63.0,,,,,,,,,,17.12,27.83,15.07,3.56,63.34,42.44,30.46,,,,,,,,,
Nebraska,2013,26+,56.0,75.0,43.0,11.0,707.0,262.0,260.0,,,,,,,,,,4.83,6.46,3.68,0.93,60.81,22.56,22.38,,,,,,,,,
Nebraska,2014,12+,105.0,158.0,89.0,18.0,875.0,369.0,350.0,,,,,,,,,,6.87,10.35,5.79,1.16,57.23,24.08,22.84,,,,,,,,,
Nebraska,2014,12-17,11.0,17.0,8.0,1.0,16.0,9.0,9.0,,,,,,,,,,7.14,11.4,5.54,0.45,10.53,6.32,6.3,,,,,,,,,
Nebraska,2014,18+,95.0,141.0,80.0,17.0,860.0,359.0,340.0,,,,,,,,,,6.84,10.23,5.81,1.23,62.25,25.99,24.62,,,,,,,,,
Nebraska,2014,18-25,37.0,61.0,34.0,7.0,136.0,91.0,65.0,,,,,,,,,,17.72,29.18,16.19,3.45,64.7,43.23,30.79,,,,,,,,,
Nebraska,2014,26+,57.0,80.0,46.0,10.0,724.0,269.0,276.0,,,,,,,,,,4.91,6.86,3.97,0.84,61.82,22.92,23.53,,,,,,,,,
Nebraska,2015,12+,,166.0,97.0,21.0,886.0,,339.0,16.0,,3.0,,,,,106.0,,,10.75,6.29,1.37,57.43,,21.95,1.52,,0.21,,,,,6.85,
Nebraska,2015,12-17,,15.0,8.0,1.0,13.0,,8.0,6.0,,0.0,,,,,4.0,,,10.24,5.26,0.56,8.88,,5.1,3.51,,0.08,,,,,2.33,
Nebraska,2015,18+,,150.0,89.0,20.0,872.0,,331.0,10.0,,3.0,,,,,102.0,,,10.81,6.4,1.46,62.7,,23.78,1.19,,0.22,,,,,7.34,
Nebraska,2015,18-25,,64.0,36.0,8.0,133.0,,59.0,8.0,,1.0,,,,,28.0,,,30.47,16.83,3.99,62.82,,27.92,7.13,,0.61,,,,,13.25,
Nebraska,2015,26+,,86.0,53.0,12.0,739.0,,272.0,2.0,,2.0,,,,,74.0,,,7.28,4.53,1.0,62.68,,23.04,0.22,,0.16,,,,,6.28,
Nebraska,2016,12+,134.0,176.0,112.0,22.0,915.0,448.0,329.0,19.0,49.0,4.0,,67.0,37.0,10.0,91.0,122.0,8.61,11.33,7.21,1.4,58.92,28.81,21.2,1.87,3.13,0.24,,4.28,2.39,0.67,5.88,7.85
Nebraska,2016,12-17,10.0,17.0,9.0,1.0,14.0,9.0,6.0,7.0,4.0,0.0,,6.0,4.0,1.0,4.0,7.0,6.87,11.36,5.74,0.62,8.99,6.18,3.93,4.32,2.6,0.12,,3.92,2.81,0.54,2.43,4.43
Nebraska,2016,18+,123.0,159.0,103.0,21.0,901.0,438.0,323.0,13.0,45.0,4.0,,61.0,33.0,10.0,88.0,115.0,8.8,11.32,7.37,1.49,64.36,31.28,23.09,1.45,3.19,0.26,,4.32,2.34,0.69,6.25,8.23
Nebraska,2016,18-25,43.0,64.0,37.0,10.0,133.0,93.0,56.0,11.0,14.0,1.0,,18.0,13.0,2.0,24.0,31.0,20.0,29.84,17.35,4.48,62.44,43.51,26.28,8.49,6.37,0.49,,8.3,6.08,0.94,11.12,14.34
Nebraska,2016,26+,81.0,95.0,66.0,11.0,768.0,345.0,267.0,2.0,31.0,3.0,,43.0,20.0,8.0,64.0,85.0,6.8,8.0,5.58,0.95,64.7,29.09,22.52,0.29,2.62,0.22,,3.61,1.67,0.64,5.38,7.13
Nebraska,2017,12+,141.0,180.0,121.0,26.0,913.0,454.0,326.0,21.0,45.0,3.0,8.0,59.0,40.0,10.0,91.0,120.0,9.04,11.51,7.7,1.68,58.34,29.0,20.81,2.27,2.87,0.22,0.52,3.76,2.54,0.65,5.8,7.69
Nebraska,2017,12-17,10.0,19.0,9.0,1.0,16.0,10.0,6.0,8.0,3.0,0.0,0.0,5.0,4.0,1.0,3.0,6.0,6.65,12.04,6.0,0.6,10.21,6.56,3.68,5.2,2.24,0.07,0.14,2.98,2.71,0.47,2.17,4.05
Nebraska,2017,18+,131.0,162.0,111.0,25.0,897.0,444.0,320.0,13.0,41.0,3.0,8.0,54.0,36.0,9.0,87.0,114.0,9.3,11.46,7.89,1.8,63.6,31.46,22.69,1.73,2.93,0.24,0.56,3.84,2.52,0.67,6.19,8.08
Nebraska,2017,18-25,47.0,65.0,40.0,12.0,134.0,93.0,56.0,11.0,14.0,1.0,2.0,15.0,15.0,2.0,27.0,34.0,22.11,30.55,18.76,5.65,62.94,43.56,26.25,9.72,6.34,0.4,1.14,7.18,6.95,0.95,12.54,16.1
Nebraska,2017,26+,84.0,96.0,71.0,13.0,763.0,351.0,264.0,2.0,28.0,3.0,5.0,39.0,21.0,7.0,61.0,80.0,7.02,8.06,5.96,1.11,63.73,29.31,22.05,0.39,2.33,0.21,0.45,3.25,1.73,0.62,5.06,6.66
Nebraska,2018,12+,150.0,200.0,129.0,29.0,895.0,461.0,299.0,20.0,46.0,3.0,11.0,58.0,41.0,10.0,92.0,119.0,9.5,12.68,8.21,1.83,56.79,29.24,18.98,2.08,2.94,0.22,0.67,3.68,2.63,0.61,5.82,7.58
Nebraska,2018,12-17,11.0,19.0,10.0,1.0,15.0,9.0,4.0,8.0,4.0,0.0,0.0,5.0,4.0,1.0,3.0,6.0,7.29,12.46,6.16,0.54,9.53,5.63,2.84,5.76,2.31,0.04,0.18,3.26,2.51,0.38,1.86,3.69
Nebraska,2018,18+,138.0,180.0,120.0,28.0,880.0,452.0,295.0,11.0,43.0,3.0,10.0,53.0,37.0,9.0,89.0,114.0,9.74,12.7,8.43,1.98,61.98,31.83,20.75,1.42,3.0,0.24,0.72,3.72,2.64,0.64,6.25,8.01
Nebraska,2018,18-25,49.0,68.0,44.0,13.0,133.0,90.0,50.0,9.0,15.0,1.0,3.0,15.0,15.0,2.0,26.0,35.0,23.21,31.94,20.54,6.2,62.51,42.38,23.59,7.65,6.97,0.48,1.44,6.86,7.28,1.0,12.35,16.43
Nebraska,2018,26+,89.0,112.0,76.0,15.0,747.0,362.0,244.0,2.0,28.0,2.0,7.0,38.0,22.0,7.0,62.0,79.0,7.37,9.31,6.3,1.23,61.9,29.98,20.26,0.34,2.31,0.2,0.6,3.17,1.82,0.58,5.18,6.53
