State,Age,Year,Past Month Illicit Drug Use (total),Past Year Marijuana Use (total),Past Month Marijuana Use (total),Past Year Cocaine Use (total),Past Month Alcohol Use (total),Past Month Binge Alcohol Use (total),Past Month Cigarette Use (total),First Use of Marijuana (total),Past Month Illicit Drug Use Other Than Marijuana (total),Past Year Heroin Use (total),Past Year Methamphetamine Use (total),Past Year Misuse of Pain Relievers (total),Illicit Drug Use Disorder (total),Pain Reliever Use Disorder (total),Alcohol Use Disorder (total),Substance Use Disorder (total),Past Month Illicit Drug Use %,Past Year Marijuana Use %,Past Month Marijuana Use %,Past Year Cocaine Use %,Past Month Alcohol Use %,Past Month Binge Alcohol Use %,Past Month Cigarette Use %,First Use of Marijuana %,Past Month Illicit Drug Use Other Than Marijuana %,Past Year Heroin Use %,Past Year Methamphetamine Use %,Past Year Misuse of Pain Relievers %,Illicit Drug Use Disorder %,Pain Reliever Use Disorder %,Alcohol Use Disorder %,Substance Use Disorder %
NORTHEAST REGION,17-Dec,2013,392,602,323,25,586,312,247,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,17-Dec,2016,,,,,,,,,,,,,,,,,8.34,12.29,6.75,0.58,9.4,5.33,3.8,5.25,2.71,0.07,,3.72,3.3,0.55,2.23,4.61
UNITED STATES,26+,2014,,,,,,,,,,,,,,,,,7.81,9.63,6.11,1.3,56.18,22.44,21.53,,,,,,,,,
UNITED STATES,26+,2018,,,,,,,,,,,,,,,,,9.82,12.73,8.25,1.67,55.57,24.95,18.71,0.53,2.88,0.3,0.65,3.56,2.13,0.6,5.05,6.51
UNITED STATES,26+,2019,,,,,,,,,,,,,,,,,10.9,14.27,9.39,1.63,55.15,24.82,18.35,0.67,2.99,0.3,0.75,3.43,2.25,0.56,5.09,6.66
UNITED STATES,18-25,2017,,,,,,,,,,,,,,,,,23.69,33.91,21.45,5.88,56.74,37.62,22.9,7.98,7.07,0.64,0.93,7.13,7.17,0.91,10.35,14.97
NORTHEAST REGION,18-25,2013,1450,2173,1289,324,3973,2645,1882,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,18-25,2016,,,,,,,,,,,,,,,,,22.75,32.6,20.3,5.46,57.75,38.69,25.12,7.74,7.32,0.64,,7.82,7.14,1.03,10.8,15.2
UNITED STATES,18+,2014,,,,,,,,,,,,,,,,,9.84,12.87,8.04,1.77,56.68,24.69,22.69,,,,,,,,,
UNITED STATES,18+,2018,,,,,,,,,,,,,,,,,11.78,15.77,10.16,2.26,55.59,26.45,18.99,1.6,3.39,0.34,0.69,3.94,2.87,0.64,5.74,7.67
UNITED STATES,18+,2019,,,,,,,,,,,,,,,,,12.73,17.1,11.17,2.16,55.09,26.15,18.35,1.73,3.41,0.31,0.76,3.69,2.97,0.57,5.71,7.74
UNITED STATES,26+,2017,,,,,,,,,,,,,,,,,9.18,11.61,7.56,1.59,55.22,24.49,19.54,0.45,2.88,0.32,0.55,3.79,2,0.6,5.09,6.49
NORTHEAST REGION,26+,2013,2688,3506,2096,563,22744,8539,7433,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,26+,2016,,,,,,,,,,,,,,,,,8.54,10.73,6.88,1.39,55.1,24.52,20.09,0.39,2.86,0.31,,4,2.04,0.67,5.31,6.72
NORTHEAST REGION,12+,2014,4899,6594,4077,920,27463,11310,9355,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHEAST REGION,12+,2018,5694,7656,4915,1114,26669,12484,7779,575,1564,219,172,1638,1377,283,2636,3595,,,,,,,,,,,,,,,,
NORTHEAST REGION,12+,2019,6143,8458,5455,1056,25790,12027,7371,619,1499,173,195,1480,1426,233,2525,3505,,,,,,,,,,,,,,,,
UNITED STATES,18+,2017,,,,,,,,,,,,,,,,,11.21,14.73,9.51,2.19,55.43,26.33,20.01,1.48,3.47,0.37,0.6,4.26,2.72,0.65,5.82,7.68
NORTHEAST REGION,18+,2013,4138,5679,3385,887,26718,11184,9314,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,18+,2016,,,,,,,,,,,,,,,,,10.57,13.85,8.79,1.97,55.48,26.54,20.81,1.4,3.5,0.36,,4.54,2.76,0.72,6.09,7.93
NORTHEAST REGION,17-Dec,2014,386,583,320,25,550,291,213,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHEAST REGION,17-Dec,2018,335,524,275,18,418,220,105,207,87,2,6,91,107,15,67,145,,,,,,,,,,,,,,,,
NORTHEAST REGION,17-Dec,2019,340,529,293,15,390,201,85,210,84,1,6,76,116,15,67,150,,,,,,,,,,,,,,,,
NORTHEAST REGION,12+,2017,5536,7239,4713,1124,27062,12679,8408,556,1633,214,136,1808,1336,300,2692,3656,,,,,,,,,,,,,,,,
NORTHEAST REGION,12+,2013,,,,,,,,,,,,,,,,,9.58,13.29,7.85,1.93,57.75,24.31,20.22,,,,,,,,,
NORTHEAST REGION,12+,2016,5351,7094,4539,1080,26782,12564,8823,543,1654,221,,1936,1359,321,2871,3791,,,,,,,,,,,,,,,,
NORTHEAST REGION,18-25,2014,1454,2132,1303,319,3923,2494,1744,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHEAST REGION,18-25,2018,1574,2313,1467,406,3654,2471,1203,269,420,40,28,349,464,48,638,955,,,,,,,,,,,,,,,,
