State,Age,Year,Past Month Illicit Drug Use (total),Past Year Marijuana Use (total),Past Month Marijuana Use (total),Past Year Cocaine Use (total),Past Month Alcohol Use (total),Past Month Binge Alcohol Use (total),Past Month Cigarette Use (total),First Use of Marijuana (total),Past Month Illicit Drug Use Other Than Marijuana (total),Past Year Heroin Use (total),Past Year Methamphetamine Use (total),Past Year Misuse of Pain Relievers (total),Illicit Drug Use Disorder (total),Pain Reliever Use Disorder (total),Alcohol Use Disorder (total),Substance Use Disorder (total),Past Month Illicit Drug Use %,Past Year Marijuana Use %,Past Month Marijuana Use %,Past Year Cocaine Use %,Past Month Alcohol Use %,Past Month Binge Alcohol Use %,Past Month Cigarette Use %,First Use of Marijuana %,Past Month Illicit Drug Use Other Than Marijuana %,Past Year Heroin Use %,Past Year Methamphetamine Use %,Past Year Misuse of Pain Relievers %,Illicit Drug Use Disorder %,Pain Reliever Use Disorder %,Alcohol Use Disorder %,Substance Use Disorder %
MISSOURI,17-Dec,2018,36,56,29,2,50,26,20,22,11,0,1,14,13,2,8,17,,,,,,,,,,,,,,,,
MISSOURI,17-Dec,2019,35,53,27,2,43,23,16,22,11,0,1,13,15,2,8,19,,,,,,,,,,,,,,,,
MISSOURI,12+,2017,526,699,428,81,2587,1282,1084,65,169,15,45,219,129,35,271,371,,,,,,,,,,,,,,,,
MISSOURI,12+,2013,,,,,,,,,,,,,,,,,8.87,11.64,7.1,1.06,51.7,24.37,28.21,,,,,,,,,
MISSOURI,12+,2016,523,668,412,65,2602,1269,1164,63,162,17,,229,137,39,294,388,,,,,,,,,,,,,,,,
MISSOURI,18-25,2014,153,219,142,22,394,271,256,,,,,,,,,,,,,,,,,,,,,,,,,
MISSOURI,18-25,2018,137,203,127,26,339,217,137,33,33,3,10,41,42,6,55,82,,,,,,,,,,,,,,,,
MISSOURI,18-25,2019,143,204,130,26,338,215,138,32,34,3,7,37,46,4,59,88,,,,,,,,,,,,,,,,
MISSOURI,17-Dec,2017,39,55,27,2,51,27,24,22,14,0,1,16,12,2,9,17,,,,,,,,,,,,,,,,
MISSOURI,17-Dec,2013,,,,,,,,,,,,,,,,,9.46,13.78,7.1,0.42,12.4,7.46,8.63,,,,,,,,,
MISSOURI,17-Dec,2016,46,59,29,2,47,26,28,22,20,0,,22,15,3,10,21,,,,,,,,,,,,,,,,
MISSOURI,26+,2014,275,362,228,33,2108,958,1117,,,,,,,,,,,,,,,,,,,,,,,,,
MISSOURI,26+,2018,348,484,281,46,2111,988,915,13,105,10,33,159,78,28,194,268,,,,,,,,,,,,,,,,
MISSOURI,26+,2019,365,506,302,40,2151,993,855,11,105,11,37,139,85,19,199,271,,,,,,,,,,,,,,,,
MISSOURI,18-25,2017,134,206,120,29,360,245,155,33,36,4,9,46,40,7,61,84,,,,,,,,,,,,,,,,
MISSOURI,18-25,2013,,,,,,,,,,,,,,,,,22.42,31.99,20.15,2.75,60.73,40.74,38.42,,,,,,,,,
MISSOURI,18-25,2016,139,211,120,25,385,265,200,34,39,4,,53,41,6,77,98,,,,,,,,,,,,,,,,
MISSOURI,18+,2014,428,580,370,55,2502,1229,1373,,,,,,,,,,,,,,,,,,,,,,,,,
MISSOURI,18+,2018,486,686,408,72,2450,1205,1051,45,139,13,43,200,120,34,248,351,,,,,,,,,,,,,,,,
MISSOURI,18+,2019,508,710,433,66,2490,1208,993,43,140,14,45,177,131,23,258,358,,,,,,,,,,,,,,,,
MISSOURI,26+,2017,354,438,281,50,2177,1010,904,11,119,11,35,156,77,26,201,269,,,,,,,,,,,,,,,,
MISSOURI,26+,2013,,,,,,,,,,,,,,,,,6.5,7.93,4.88,0.85,54.98,23.66,28.87,,,,,,,,,
MISSOURI,26+,2016,338,398,262,38,2170,977,936,8,103,12,,154,81,29,207,269,,,,,,,,,,,,,,,,
MISSOURI,12+,2014,,,,,,,,,,,,,,,,,9.27,12.73,7.98,1.14,50.85,25.1,28.1,,,,,,,,,
MISSOURI,12+,2018,,,,,,,,,,,,,,,,,10.22,14.57,8.57,1.45,49.02,24.14,21.01,2.23,2.94,0.26,0.88,4.2,2.6,0.7,5.02,7.21
MISSOURI,12+,2019,,,,,,,,,,,,,,,,,10.61,14.91,8.99,1.33,49.51,24.06,19.72,2.25,2.96,0.28,0.9,3.7,2.85,0.49,5.21,7.38
MISSOURI,18+,2017,488,643,401,79,2537,1255,1060,44,154,15,43,202,117,32,262,353,,,,,,,,,,,,,,,,
MISSOURI,18+,2013,,,,,,,,,,,,,,,,,8.81,11.41,7.1,1.12,55.81,26.14,30.26,,,,,,,,,
MISSOURI,18+,2016,477,609,382,63,2556,1242,1135,41,142,16,,207,122,36,283,367,,,,,,,,,,,,,,,,
MISSOURI,17-Dec,2014,,,,,,,,,,,,,,,,,7.93,12.48,6.45,0.4,10.91,6.7,8.08,,,,,,,,,
MISSOURI,17-Dec,2018,,,,,,,,,,,,,,,,,7.62,12.1,6.21,0.42,10.68,5.64,4.37,5.09,2.38,0.06,0.3,3.05,2.7,0.39,1.65,3.69
MISSOURI,17-Dec,2019,,,,,,,,,,,,,,,,,7.52,11.35,5.88,0.38,9.19,5.02,3.41,5.05,2.46,0.03,0.27,2.74,3.23,0.43,1.8,4.04
MISSOURI,12+,2017,,,,,,,,,,,,,,,,,10.36,13.75,8.42,1.59,50.93,25.23,21.33,2.21,3.32,0.3,0.88,4.31,2.54,0.69,5.33,7.29
MONTANA,12+,2013,94,134,88,13,506,214,207,,,,,,,,,,,,,,,,,,,,,,,,,
MISSOURI,12+,2016,,,,,,,,,,,,,,,,,10.34,13.19,8.13,1.29,51.39,25.05,22.98,2.18,3.2,0.33,,4.52,2.7,0.76,5.8,7.66
MISSOURI,18-25,2014,,,,,,,,,,,,,,,,,23.35,33.32,21.68,3.35,60.04,41.27,38.96,,,,,,,,,
MISSOURI,18-25,2018,,,,,,,,,,,,,,,,,21.61,31.9,19.96,4.14,53.29,34.12,21.47,8.83,5.25,0.54,1.57,6.47,6.63,0.96,8.59,12.95
MISSOURI,18-25,2019,,,,,,,,,,,,,,,,,22.72,32.52,20.73,4.12,53.95,34.22,21.94,8.93,5.49,0.43,1.19,5.95,7.33,0.63,9.46,14.01
MISSOURI,17-Dec,2017,,,,,,,,,,,,,,,,,8.26,11.81,5.8,0.47,10.8,5.82,5.2,4.93,3.07,0.04,0.29,3.53,2.66,0.5,1.86,3.72
MONTANA,17-Dec,2013,8,12,6,1,10,5,6,,,,,,,,,,,,,,,,,,,,,,,,,
MISSOURI,17-Dec,2016,,,,,,,,,,,,,,,,,9.9,12.55,6.23,0.48,9.91,5.62,6.06,5.12,4.26,0.05,,4.65,3.24,0.61,2.21,4.44
MISSOURI,26+,2014,,,,,,,,,,,,,,,,,7.06,9.28,5.85,0.85,54.13,24.6,28.69,,,,,,,,,
MISSOURI,26+,2018,,,,,,,,,,,,,,,,,8.72,12.1,7.03,1.14,52.82,24.71,22.88,0.5,2.63,0.24,0.83,3.97,1.95,0.7,4.84,6.71
MISSOURI,26+,2019,,,,,,,,,,,,,,,,,9.08,12.58,7.52,1,53.48,24.68,21.26,0.57,2.62,0.28,0.93,3.46,2.11,0.48,4.95,6.73
MISSOURI,18-25,2017,,,,,,,,,,,,,,,,,20.72,31.87,18.57,4.44,55.78,37.98,24.06,8.95,5.52,0.54,1.32,7.14,6.2,1.04,9.49,13.08
MONTANA,18-25,2013,27,38,25,5,73,49,40,,,,,,,,,,,,,,,,,,,,,,,,,
MISSOURI,18-25,2016,,,,,,,,,,,,,,,,,21.31,32.4,18.42,3.9,59.04,40.61,30.61,9.59,5.9,0.68,,8.18,6.21,0.98,11.75,15.05
MISSOURI,18+,2014,,,,,,,,,,,,,,,,,9.41,12.75,8.14,1.21,54.98,27.01,30.17,,,,,,,,,
MISSOURI,18+,2018,,,,,,,,,,,,,,,,,10.49,14.82,8.81,1.55,52.88,26,22.69,1.73,2.99,0.28,0.94,4.32,2.59,0.74,5.36,7.57
MISSOURI,18+,2019,,,,,,,,,,,,,,,,,10.92,15.27,9.3,1.42,53.55,25.97,21.36,1.76,3.01,0.3,0.96,3.8,2.82,0.5,5.56,7.71
MISSOURI,26+,2017,,,,,,,,,,,,,,,,,8.93,11.03,7.08,1.26,54.87,25.45,22.79,0.47,2.99,0.29,0.88,3.94,1.93,0.65,5.06,6.77
MONTANA,26+,2013,60,84,56,7,423,160,162,,,,,,,,,,,,,,,,,,,,,,,,,
MISSOURI,26+,2016,,,,,,,,,,,,,,,,,8.57,10.09,6.65,0.95,55.07,24.79,23.74,0.36,2.62,0.3,,3.9,2.06,0.74,5.24,6.82
MONTANA,12+,2014,95,120,86,10,499,207,185,,,,,,,,,,,,,,,,,,,,,,,,,
MONTANA,12+,2018,140,174,128,17,515,242,172,12,32,3,9,36,29,6,66,80,,,,,,,,,,,,,,,,
MONTANA,12+,2019,147,180,134,19,518,246,187,12,33,3,13,38,31,6,67,87,,,,,,,,,,,,,,,,
MISSOURI,18+,2017,,,,,,,,,,,,,,,,,10.58,13.95,8.68,1.71,55,27.2,22.97,1.72,3.34,0.32,0.94,4.39,2.53,0.7,5.68,7.66
MONTANA,18+,2013,87,122,81,12,496,209,202,,,,,,,,,,,,,,,,,,,,,,,,,
MISSOURI,18+,2016,,,,,,,,,,,,,,,,,10.38,13.26,8.32,1.37,55.63,27.04,24.71,1.66,3.09,0.36,,4.5,2.64,0.78,6.17,7.99
MONTANA,17-Dec,2014,7,10,6,0,8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
MONTANA,17-Dec,2018,8,11,7,0,10,5,4,4,2,0,0,2,3,0,2,4,,,,,,,,,,,,,,,,
MONTANA,17-Dec,2019,9,12,7,0,9,5,4,5,2,0,0,2,3,0,2,4,,,,,,,,,,,,,,,,
MONTANA,12+,2017,126,171,114,17,505,257,180,12,31,3,6,40,27,6,67,79,,,,,,,,,,,,,,,,
MONTANA,12+,2013,,,,,,,,,,,,,,,,,11.13,15.78,10.33,1.54,59.82,25.28,24.52,,,,,,,,,
MONTANA,12+,2016,115,160,105,16,500,245,182,11,28,3,,43,27,7,63,77,,,,,,,,,,,,,,,,
MONTANA,18-25,2014,25,33,23,4,72,47,34,,,,,,,,,,,,,,,,,,,,,,,,,
MONTANA,18-25,2018,32,44,30,7,68,46,34,6,9,1,2,8,9,1,15,20,,,,,,,,,,,,,,,,
MONTANA,18-25,2019,34,44,33,8,69,46,32,5,9,1,2,7,9,1,15,18,,,,,,,,,,,,,,,,
MONTANA,17-Dec,2017,8,12,7,1,10,6,4,4,2,0,0,3,3,0,3,5,,,,,,,,,,,,,,,,
MONTANA,17-Dec,2013,,,,,,,,,,,,,,,,,10.39,15.8,8.68,0.78,13.24,7.31,7.93,,,,,,,,,
MONTANA,17-Dec,2016,8,13,6,1,8,5,5,4,2,0,,3,3,0,2,5,,,,,,,,,,,,,,,,
MONTANA,26+,2014,63,77,57,6,418,155,146,,,,,,,,,,,,,,,,,,,,,,,,,
MONTANA,26+,2018,100,119,91,10,436,191,134,2,21,2,6,26,17,5,49,57,,,,,,,,,,,,,,,,
MONTANA,26+,2019,103,124,94,11,440,196,151,2,22,3,10,29,19,5,50,64,,,,,,,,,,,,,,,,
MONTANA,18-25,2017,30,45,28,6,71,51,31,5,9,1,2,9,9,1,15,20,,,,,,,,,,,,,,,,
MONTANA,18-25,2013,,,,,,,,,,,,,,,,,24.5,34.98,23.04,4.82,67.1,44.67,36.47,,,,,,,,,
MONTANA,18-25,2016,29,42,27,6,69,50,31,5,8,1,,11,9,2,16,21,,,,,,,,,,,,,,,,
MONTANA,18+,2014,87,110,80,10,490,202,180,,,,,,,,,,,,,,,,,,,,,,,,,
MONTANA,18+,2018,132,163,121,16,505,237,169,7,30,3,8,34,26,6,64,76,,,,,,,,,,,,,,,,
MONTANA,18+,2019,138,168,127,19,509,242,183,8,31,3,13,36,28,6,65,83,,,,,,,,,,,,,,,,
MONTANA,26+,2017,88,115,80,10,425,201,144,2,21,2,4,28,15,5,49,54,,,,,,,,,,,,,,,,
MONTANA,26+,2013,,,,,,,,,,,,,,,,,9.03,12.65,8.44,1.09,63.79,24.11,24.4,,,,,,,,,
MONTANA,26+,2016,79,105,72,9,423,190,146,2,18,2,,30,15,5,45,52,,,,,,,,,,,,,,,,
MONTANA,12+,2014,,,,,,,,,,,,,,,,,11.09,14.07,10.04,1.22,58.39,24.26,21.68,,,,,,,,,
MONTANA,12+,2018,,,,,,,,,,,,,,,,,15.8,19.61,14.46,1.91,57.94,27.23,19.42,2.85,3.6,0.3,0.97,4.03,3.26,0.73,7.47,9.05
MONTANA,12+,2019,,,,,,,,,,,,,,,,,16.32,20.06,14.92,2.11,57.64,27.43,20.83,3.33,3.72,0.36,1.43,4.27,3.46,0.68,7.46,9.67
MONTANA,18+,2017,118,160,108,16,496,252,176,7,29,3,6,37,24,6,64,74,,,,,,,,,,,,,,,,
MONTANA,18+,2013,,,,,,,,,,,,,,,,,11.2,15.78,10.49,1.61,64.25,26.99,26.1,,,,,,,,,
MONTANA,18+,2016,108,147,98,15,492,240,177,7,25,3,,40,24,6,61,73,,,,,,,,,,,,,,,,
MONTANA,17-Dec,2014,,,,,,,,,,,,,,,,,10,13.38,8.3,0.49,11.19,6.53,6.35,,,,,,,,,
MONTANA,17-Dec,2018,,,,,,,,,,,,,,,,,10.99,14.69,9.65,0.65,13.33,6.89,5.12,6.24,2.98,0.08,0.26,2.77,3.56,0.42,3.14,5.18
MONTANA,17-Dec,2019,,,,,,,,,,,,,,,,,11.58,15.98,9.77,0.61,11.64,5.99,5.58,7.46,3.02,0.04,0.32,2.69,4.08,0.39,2.51,5.68
MONTANA,12+,2017,,,,,,,,,,,,,,,,,14.33,19.53,13.01,1.91,57.53,29.29,20.53,2.78,3.59,0.33,0.68,4.55,3.11,0.72,7.65,8.98
NEBRASKA,12+,2013,103,152,83,19,855,361,333,,,,,,,,,,,,,,,,,,,,,,,,,
MONTANA,12+,2016,,,,,,,,,,,,,,,,,13.25,18.41,12.02,1.8,57.49,28.13,20.95,2.91,3.18,0.32,,4.97,3.1,0.75,7.24,8.9
MONTANA,18-25,2014,,,,,,,,,,,,,,,,,22.34,30.03,20.57,3.53,65.01,42.68,30.79,,,,,,,,,
MONTANA,18-25,2018,,,,,,,,,,,,,,,,,29.03,40.15,27.3,6.12,62.04,41.64,31.04,12.03,8.01,0.59,2.13,7.32,8.58,1.14,14.06,17.83
MONTANA,18-25,2019,,,,,,,,,,,,,,,,,31.39,40.46,29.85,6.92,62.94,41.88,28.79,11.7,8.36,0.47,2.03,6.49,7.87,0.82,13.65,16.69
MONTANA,17-Dec,2017,,,,,,,,,,,,,,,,,10.37,15.91,8.8,0.89,12.82,7.54,6.03,6.53,2.92,0.08,0.17,3.43,3.93,0.49,3.72,6.3
NEBRASKA,17-Dec,2013,12,19,9,1,17,10,10,,,,,,,,,,,,,,,,,,,,,,,,,
MONTANA,17-Dec,2016,,,,,,,,,,,,,,,,,10.23,17.04,8.43,1.08,11.05,6.8,7.08,7.02,3.09,0.1,,4.03,4.23,0.55,2.91,6.39
MONTANA,26+,2014,,,,,,,,,,,,,,,,,9.35,11.51,8.49,0.92,62.51,23.18,21.87,,,,,,,,,
MONTANA,26+,2018,,,,,,,,,,,,,,,,,14.25,16.92,12.96,1.38,62.09,27.16,19.13,0.71,2.98,0.28,0.86,3.65,2.4,0.69,6.91,8.09
MONTANA,26+,2019,,,,,,,,,,,,,,,,,14.51,17.36,13.18,1.53,61.76,27.5,21.24,0.98,3.09,0.38,1.46,4.09,2.71,0.69,7.04,9.02
MONTANA,18-25,2017,,,,,,,,,,,,,,,,,27.14,40.51,25.13,5.81,64.38,45.86,28.45,10.95,7.76,0.71,1.62,8.17,8.1,1.19,13.85,17.91
NEBRASKA,18-25,2013,35,58,31,7,131,88,63,,,,,,,,,,,,,,,,,,,,,,,,,
MONTANA,18-25,2016,,,,,,,,,,,,,,,,,25.83,38.05,23.89,5.71,61.98,45.16,27.7,10.46,6.93,0.78,,9.48,7.71,1.37,14.65,18.75
MONTANA,18+,2014,,,,,,,,,,,,,,,,,11.19,14.13,10.2,1.29,62.86,25.94,23.13,,,,,,,,,
MONTANA,18+,2018,,,,,,,,,,,,,,,,,16.25,20.07,14.91,2.03,62.08,29.12,20.75,2.22,3.66,0.32,1.03,4.15,3.24,0.75,7.87,9.41
MONTANA,18+,2019,,,,,,,,,,,,,,,,,16.77,20.44,15.4,2.25,61.92,29.42,22.25,2.52,3.79,0.39,1.53,4.41,3.4,0.71,7.92,10.04
MONTANA,26+,2017,,,,,,,,,,,,,,,,,12.71,16.57,11.52,1.39,61.26,28.99,20.83,0.67,2.99,0.3,0.59,4.09,2.22,0.66,7.08,7.84
NEBRASKA,26+,2013,56,75,43,11,707,262,260,,,,,,,,,,,,,,,,,,,,,,,,,
MONTANA,26+,2016,,,,,,,,,,,,,,,,,11.53,15.36,10.48,1.25,61.82,27.69,21.36,0.63,2.57,0.27,,4.34,2.23,0.68,6.51,7.57
NEBRASKA,12+,2014,105,158,89,18,875,369,350,,,,,,,,,,,,,,,,,,,,,,,,,
NEBRASKA,12+,2018,150,200,129,29,895,461,299,20,46,3,11,58,41,10,92,119,,,,,,,,,,,,,,,,
NEBRASKA,12+,2019,149,227,134,27,878,462,285,22,42,4,9,52,40,8,90,116,,,,,,,,,,,,,,,,
MONTANA,18+,2017,,,,,,,,,,,,,,,,,14.7,19.86,13.4,2,61.69,31.31,21.88,2.09,3.65,0.36,0.73,4.65,3.03,0.74,8.01,9.23
NEBRASKA,18+,2013,92,133,74,18,838,350,323,,,,,,,,,,,,,,,,,,,,,,,,,
MONTANA,18+,2016,,,,,,,,,,,,,,,,,13.53,18.54,12.36,1.87,61.84,30.13,22.25,2.11,3.18,0.34,,5.06,3,0.77,7.65,9.14
NEBRASKA,17-Dec,2014,11,17,8,1,16,9,9,,,,,,,,,,,,,,,,,,,,,,,,,
NEBRASKA,17-Dec,2018,11,19,10,1,15,9,4,8,4,0,0,5,4,1,3,6,,,,,,,,,,,,,,,,
NEBRASKA,17-Dec,2019,13,22,11,1,16,8,4,9,4,0,0,5,4,1,3,6,,,,,,,,,,,,,,,,
NEBRASKA,12+,2017,141,180,121,26,913,454,326,21,45,3,8,59,40,10,91,120,,,,,,,,,,,,,,,,
NEBRASKA,12+,2013,,,,,,,,,,,,,,,,,6.79,9.98,5.47,1.25,56.37,23.74,21.97,,,,,,,,,
NEBRASKA,12+,2016,134,176,112,22,915,448,329,19,49,4,,67,37,10,91,122,,,,,,,,,,,,,,,,
NEBRASKA,18-25,2014,37,61,34,7,136,91,65,,,,,,,,,,,,,,,,,,,,,,,,,
NEBRASKA,18-25,2018,49,68,44,13,133,90,50,9,15,1,3,15,15,2,26,35,,,,,,,,,,,,,,,,
NEBRASKA,18-25,2019,48,73,45,13,129,87,43,10,13,1,2,12,15,1,24,31,,,,,,,,,,,,,,,,
NEBRASKA,17-Dec,2017,10,19,9,1,16,10,6,8,3,0,0,5,4,1,3,6,,,,,,,,,,,,,,,,
NEBRASKA,17-Dec,2013,,,,,,,,,,,,,,,,,7.96,13.03,6.24,0.52,11.32,7.01,6.79,,,,,,,,,
NEBRASKA,17-Dec,2016,10,17,9,1,14,9,6,7,4,0,,6,4,1,4,7,,,,,,,,,,,,,,,,
NEBRASKA,26+,2014,57,80,46,10,724,269,276,,,,,,,,,,,,,,,,,,,,,,,,,
NEBRASKA,26+,2018,89,112,76,15,747,362,244,2,28,2,7,38,22,7,62,79,,,,,,,,,,,,,,,,
NEBRASKA,26+,2019,88,133,78,14,733,367,237,4,26,3,7,36,21,5,64,79,,,,,,,,,,,,,,,,
NEBRASKA,18-25,2017,47,65,40,12,134,93,56,11,14,1,2,15,15,2,27,34,,,,,,,,,,,,,,,,
NEBRASKA,18-25,2013,,,,,,,,,,,,,,,,,17.12,27.83,15.07,3.56,63.34,42.44,30.46,,,,,,,,,
NEBRASKA,18-25,2016,43,64,37,10,133,93,56,11,14,1,,18,13,2,24,31,,,,,,,,,,,,,,,,
NEBRASKA,18+,2014,95,141,80,17,860,359,340,,,,,,,,,,,,,,,,,,,,,,,,,
NEBRASKA,18+,2018,138,180,120,28,880,452,295,11,43,3,10,53,37,9,89,114,,,,,,,,,,,,,,,,
NEBRASKA,18+,2019,137,206,123,26,862,454,281,13,39,4,9,48,36,7,87,110,,,,,,,,,,,,,,,,
NEBRASKA,26+,2017,84,96,71,13,763,351,264,2,28,3,5,39,21,7,61,80,,,,,,,,,,,,,,,,
NEBRASKA,26+,2013,,,,,,,,,,,,,,,,,4.83,6.46,3.68,0.93,60.81,22.56,22.38,,,,,,,,,
NEBRASKA,26+,2016,81,95,66,11,768,345,267,2,31,3,,43,20,8,64,85,,,,,,,,,,,,,,,,
NEBRASKA,12+,2014,,,,,,,,,,,,,,,,,6.87,10.35,5.79,1.16,57.23,24.08,22.84,,,,,,,,,
NEBRASKA,12+,2018,,,,,,,,,,,,,,,,,9.5,12.68,8.21,1.83,56.79,29.24,18.98,2.08,2.94,0.22,0.67,3.68,2.63,0.61,5.82,7.58
NEBRASKA,12+,2019,,,,,,,,,,,,,,,,,9.41,14.35,8.43,1.7,55.4,29.19,17.99,2.39,2.66,0.24,0.6,3.31,2.55,0.48,5.69,7.34
NEBRASKA,18+,2017,131,162,111,25,897,444,320,13,41,3,8,54,36,9,87,114,,,,,,,,,,,,,,,,
NEBRASKA,18+,2013,,,,,,,,,,,,,,,,,6.67,9.66,5.38,1.33,61.19,25.53,23.59,,,,,,,,,
NEBRASKA,18+,2016,123,159,103,21,901,438,323,13,45,4,,61,33,10,88,115,,,,,,,,,,,,,,,,
NEBRASKA,17-Dec,2014,,,,,,,,,,,,,,,,,7.14,11.4,5.54,0.45,10.53,6.32,6.3,,,,,,,,,
NEBRASKA,17-Dec,2018,,,,,,,,,,,,,,,,,7.29,12.46,6.16,0.54,9.53,5.63,2.84,5.76,2.31,0.04,0.18,3.26,2.51,0.38,1.86,3.69
NEBRASKA,17-Dec,2019,,,,,,,,,,,,,,,,,8.04,13.87,6.75,0.5,9.97,5.2,2.82,6.29,2.32,0.03,0.22,2.93,2.74,0.38,1.85,3.94
NEBRASKA,12+,2017,,,,,,,,,,,,,,,,,9.04,11.51,7.7,1.68,58.34,29,20.81,2.27,2.87,0.22,0.52,3.76,2.54,0.65,5.8,7.69
NEVADA,12+,2013,247,324,183,34,1255,574,554,,,,,,,,,,,,,,,,,,,,,,,,,
NEBRASKA,12+,2016,,,,,,,,,,,,,,,,,8.61,11.33,7.21,1.4,58.92,28.81,21.2,1.87,3.13,0.24,,4.28,2.39,0.67,5.88,7.85
NEBRASKA,18-25,2014,,,,,,,,,,,,,,,,,17.72,29.18,16.19,3.45,64.7,43.23,30.79,,,,,,,,,
NEBRASKA,18-25,2018,,,,,,,,,,,,,,,,,23.21,31.94,20.54,6.2,62.51,42.38,23.59,7.65,6.97,0.48,1.44,6.86,7.28,1,12.35,16.43
NEBRASKA,18-25,2019,,,,,,,,,,,,,,,,,22.8,34.47,21.24,5.93,60.76,41.2,20.47,8.29,5.98,0.37,1.04,5.65,6.97,0.71,11.23,14.8
NEBRASKA,17-Dec,2017,,,,,,,,,,,,,,,,,6.65,12.04,6,0.6,10.21,6.56,3.68,5.2,2.24,0.07,0.14,2.98,2.71,0.47,2.17,4.05
NEVADA,17-Dec,2013,23,35,18,1,28,15,13,,,,,,,,,,,,,,,,,,,,,,,,,
NEBRASKA,17-Dec,2016,,,,,,,,,,,,,,,,,6.87,11.36,5.74,0.62,8.99,6.18,3.93,4.32,2.6,0.12,,3.92,2.81,0.54,2.43,4.43
NEBRASKA,26+,2014,,,,,,,,,,,,,,,,,4.91,6.86,3.97,0.84,61.82,22.92,23.53,,,,,,,,,
NEBRASKA,26+,2018,,,,,,,,,,,,,,,,,7.37,9.31,6.3,1.23,61.9,29.98,20.26,0.34,2.31,0.2,0.6,3.17,1.82,0.58,5.18,6.53
NEBRASKA,26+,2019,,,,,,,,,,,,,,,,,7.27,10.92,6.43,1.13,60.36,30.22,19.53,0.56,2.13,0.25,0.57,2.95,1.76,0.45,5.23,6.48
NEBRASKA,18-25,2017,,,,,,,,,,,,,,,,,22.11,30.55,18.76,5.65,62.94,43.56,26.25,9.72,6.34,0.4,1.14,7.18,6.95,0.95,12.54,16.1
NEVADA,18-25,2013,62,88,53,11,168,107,94,,,,,,,,,,,,,,,,,,,,,,,,,
NEBRASKA,18-25,2016,,,,,,,,,,,,,,,,,20,29.84,17.35,4.48,62.44,43.51,26.28,8.49,6.37,0.49,,8.3,6.08,0.94,11.12,14.34
NEBRASKA,18+,2014,,,,,,,,,,,,,,,,,6.84,10.23,5.81,1.23,62.25,25.99,24.62,,,,,,,,,
NEBRASKA,18+,2018,,,,,,,,,,,,,,,,,9.74,12.7,8.43,1.98,61.98,31.83,20.75,1.42,3,0.24,0.72,3.72,2.64,0.64,6.25,8.01
NEBRASKA,18+,2019,,,,,,,,,,,,,,,,,9.56,14.41,8.62,1.84,60.41,31.84,19.67,1.7,2.7,0.26,0.64,3.35,2.53,0.49,6.12,7.71
NEBRASKA,26+,2017,,,,,,,,,,,,,,,,,7.02,8.06,5.96,1.11,63.73,29.31,22.05,0.39,2.33,0.21,0.45,3.25,1.73,0.62,5.06,6.66
NEVADA,26+,2013,163,200,112,21,1058,452,447,,,,,,,,,,,,,,,,,,,,,,,,,
NEBRASKA,26+,2016,,,,,,,,,,,,,,,,,6.8,8,5.58,0.95,64.7,29.09,22.52,0.29,2.62,0.22,,3.61,1.67,0.64,5.38,7.13
NEVADA,12+,2014,223,304,181,37,1277,570,538,,,,,,,,,,,,,,,,,,,,,,,,,
NEVADA,12+,2018,412,551,379,57,1241,579,505,34,88,8,32,117,101,18,139,218,,,,,,,,,,,,,,,,
NEVADA,12+,2019,450,613,412,70,1334,636,434,36,95,5,31,99,112,15,155,230,,,,,,,,,,,,,,,,
NEBRASKA,18+,2017,,,,,,,,,,,,,,,,,9.3,11.46,7.89,1.8,63.6,31.46,22.69,1.73,2.93,0.24,0.56,3.84,2.52,0.67,6.19,8.08
NEVADA,18+,2013,225,289,165,32,1226,559,541,,,,,,,,,,,,,,,,,,,,,,,,,
NEBRASKA,18+,2016,,,,,,,,,,,,,,,,,8.8,11.32,7.37,1.49,64.36,31.28,23.09,1.45,3.19,0.26,,4.32,2.34,0.69,6.25,8.23
NEVADA,17-Dec,2014,21,32,18,2,30,15,12,,,,,,,,,,,,,,,,,,,,,,,,,
NEVADA,17-Dec,2018,23,33,21,1,18,10,6,11,6,0,0,8,9,1,4,12,,,,,,,,,,,,,,,,
NEVADA,17-Dec,2019,24,39,22,1,22,10,5,13,6,0,0,7,11,1,4,13,,,,,,,,,,,,,,,,
NEVADA,12+,2017,332,416,292,58,1195,585,484,29,96,12,22,123,86,17,140,199,,,,,,,,,,,,,,,,
NEVADA,12+,2013,,,,,,,,,,,,,,,,,10.78,14.1,7.98,1.46,54.65,25,24.15,,,,,,,,,
NEVADA,12+,2016,252,319,200,45,1237,598,480,28,87,8,,120,73,17,129,176,,,,,,,,,,,,,,,,
NEVADA,18-25,2014,57,90,52,12,168,107,87,,,,,,,,,,,,,,,,,,,,,,,,,
NEVADA,18-25,2018,96,121,91,17,148,89,62,14,19,2,7,19,31,3,29,52,,,,,,,,,,,,,,,,
NEVADA,18-25,2019,94,123,89,21,152,92,46,13,17,1,4,18,28,2,29,48,,,,,,,,,,,,,,,,
NEVADA,17-Dec,2017,23,33,20,1,22,12,6,11,8,0,1,9,9,1,5,12,,,,,,,,,,,,,,,,
NEVADA,17-Dec,2013,,,,,,,,,,,,,,,,,10.22,15.84,8.33,0.64,12.76,6.6,6.05,,,,,,,,,
